"lat","lng"
28.626634,77.375474
28.568514,77.186927
28.5846,77.3379
28.682978,77.200839
28.619727,77.37047
28.612027,77.377661
28.5694,77.361823
28.614185,77.37143
28.596732,77.34397
28.609815,77.385366
28.550977,77.264834
28.525395,77.365374
28.607797,77.339245
28.5532,77.4072
28.470717,77.510661
28.472389,77.514512
28.5412,77.4142
28.642577,77.1808
28.614336,77.371236
28.472543,77.514583
28.464139,77.541107
28.597218,77.365098
28.626579,77.371146
28.563699,77.365535
28.6103,77.3622
28.584462,77.337146
28.524779,77.254258
28.5354,77.3972
28.5343,77.3877
28.574444,77.328335
28.598332,77.330275
28.53963,77.252672
28.5784,77.3163
28.679454,77.195502
28.583854,77.360315
28.534243,77.387577
28.5483,77.3319
28.569771,77.332755
28.537679,77.38973
28.557612,77.366852
28.586502,77.31212
28.645282,77.202746
28.570577,77.326174
28.546991,77.253606
28.511551,77.080566
28.6107,77.3365
28.57718,77.322119
28.563368,77.229483
28.6042,77.3685
28.559381,77.257039
28.582498,77.247018
28.577302,77.360266
28.5949,77.3334
28.61921,77.370665
28.572441,77.222698
28.561871,77.242641
28.5453,77.3946
28.565725,77.247864
28.5364,77.3436
28.6105,77.3744
28.599826,77.317631
28.599754,77.317571
28.623511,77.242247
28.681665,77.198846
28.57515,77.321745
28.606628,77.346926
28.567792,77.188328
28.58748,77.312673
28.532589,77.38663
28.541424,77.340864
28.609994,77.353322
28.577559,77.33173
28.988853,77.020387
28.52329,77.08261
28.5333,77.1422
28.385234,77.299522
28.652439,77.131645
28.620508,77.360152
28.523224,77.161314
28.646247,77.33479
28.471348,77.049993
28.655417,77.222048
28.388577,77.306792
28.431703,77.036183
28.643938,77.334791
28.632778,77.219722
28.669948,77.278853
28.53816,77.466874
28.626348,77.37542
28.556683,77.253436
28.62342,77.36736
28.47223,77.514139
28.58,77.330002
28.671503,77.316253
28.668738,77.436151
28.584124,77.357537
28.612685,77.366581
28.597275,77.338128
28.611055,77.09472
28.705775,77.252177
28.569196,77.323931
28.556205,77.330537
28.475486,77.017226
28.567298,77.323148
28.590439,77.345695
28.571327,77.315412
28.576949,77.322373
28.635736,77.35996
28.64174,77.185462
28.567457,77.334879
28.599041,77.349375
28.589312,77.307414
28.57107,77.333168
28.567083,77.158638
28.514769,77.108964
28.594687,77.333155
28.569618,77.191199
28.638209,77.375648
28.626774,77.299211
28.46385,77.017838
28.585218,77.338498
28.535125,77.396879
28.557294,77.368257
28.689639,77.131259
28.646955,77.117115
28.644981,77.225826
28.618151,77.212407
28.598681,77.162814
28.665261,77.228301
28.665978,77.093858
28.399469,77.305998
28.533502,77.050214
28.612499,77.206507
28.641784,77.233567
28.382219,77.303093
28.637672,77.157144
28.560066,77.003042
28.677799,77.157144
28.664641,77.09158
28.574351,77.32824
28.583165,77.353398
28.560093,77.266624
28.581835,77.313839
28.596644,77.039834
28.557985,77.331995
28.577311,77.360271
28.475859,77.045145
28.557887,77.367254
28.561311,77.361608
28.574591,77.355911
28.554773,77.289752
28.645962,77.417988
28.692856,77.170125
28.646305,77.16654
28.502283,77.092105
28.542462,77.218705
28.533802,77.216926
28.442796,77.101062
28.572559,77.270546
28.69163,77.447632
28.647904,77.193521
28.652962,77.142343
28.693364,77.149589
28.473662,77.046411
28.653033,77.118557
28.598268,77.081644
28.554057,77.200373
28.496133,77.183118
28.7053,77.129817
28.574064,77.229983
28.481416,77.103344
28.464483,77.022347
28.67763,77.165382
28.567094,77.32531
28.696122,77.152193
28.632626,77.207389
28.527745,77.217082
28.589916,77.064661
28.552824,77.207666
28.57642,77.335095
28.434298,77.059302
28.580579,77.179594
28.659473,77.268907
28.417924,77.055949
28.612237,77.292592
28.571832,77.23333
28.493971,77.087512
28.615575,77.057098
28.713061,77.14102
28.608727,77.081842
28.717608,77.171277
28.47361,77.046372
28.596091,77.051313
28.717714,77.126288
28.481572,77.498665
28.64945,77.198149
28.47543,77.061328
28.547247,77.250879
28.45086,77.079064
28.613106,77.336438
